#time x y z
0.00000e+00 9.51214e-02 1.00354e+00 4.79006e-04
1.00000e-02 1.82772e-01 1.03242e+00 1.86843e-03
2.00000e-02 2.65977e-01 1.08474e+00 4.16733e-03
3.00000e-02 3.47329e-01 1.15940e+00 7.45564e-03
4.00000e-02 4.29105e-01 1.25597e+00 1.18870e-02
5.00000e-02 5.13354e-01 1.37463e+00 1.76899e-02
6.00000e-02 6.01974e-01 1.51610e+00 2.51761e-02
7.00000e-02 6.96773e-01 1.68160e+00 3.47550e-02
8.00000e-02 7.99530e-01 1.87282e+00 4.69550e-02
9.00000e-02 9.12035e-01 2.09193e+00 6.24515e-02
1.00000e-01 1.03614e+00 2.34154e+00 8.21041e-02
1.10000e-01 1.17378e+00 2.62474e+00 1.07003e-01
1.20000e-01 1.32705e+00 2.94512e+00 1.38531e-01
1.30000e-01 1.49818e+00 3.30675e+00 1.78434e-01
1.40000e-01 1.68961e+00 3.71424e+00 2.28920e-01
1.50000e-01 1.90403e+00 4.17272e+00 2.92777e-01
1.60000e-01 2.14437e+00 4.68788e+00 3.73515e-01
1.70000e-01 2.41386e+00 5.26596e+00 4.75553e-01
1.80000e-01 2.71603e+00 5.91369e+00 6.04442e-01
1.90000e-01 3.05474e+00 6.63829e+00 7.67134e-01
2.00000e-01 3.43419e+00 7.44726e+00 9.72314e-01
2.10000e-01 3.85891e+00 8.34824e+00 1.23078e+00
2.20000e-01 4.33370e+00 9.34869e+00 1.55591e+00
2.30000e-01 4.86361e+00 1.04554e+01 1.96414e+00
2.40000e-01 5.45377e+00 1.16736e+01 2.47551e+00
2.50000e-01 6.10923e+00 1.30065e+01 3.11421e+00
2.60000e-01 6.83468e+00 1.44531e+01 3.90899e+00
2.70000e-01 7.63404e+00 1.60072e+01 4.89335e+00
2.80000e-01 8.50988e+00 1.76546e+01 6.10540e+00
2.90000e-01 9.46270e+00 1.93701e+01 7.58686e+00
3.00000e-01 1.04899e+01 2.11147e+01 9.38105e+00
3.10000e-01 1.15845e+01 2.28319e+01 1.15293e+01
3.20000e-01 1.27341e+01 2.44450e+01 1.40653e+01
3.30000e-01 1.39188e+01 2.58556e+01 1.70074e+01
3.40000e-01 1.51105e+01 2.69458e+01 2.03481e+01
3.50000e-01 1.62718e+01 2.75843e+01 2.40436e+01
3.60000e-01 1.73561e+01 2.76393e+01 2.80042e+01
3.70000e-01 1.83095e+01 2.69976e+01 3.20888e+01
3.80000e-01 1.90743e+01 2.55877e+01 3.61097e+01
3.90000e-01 1.95943e+01 2.34025e+01 3.98487e+01
4.00000e-01 1.98221e+01 2.05143e+01 4.30848e+01
4.10000e-01 1.97251e+01 1.70746e+01 4.56296e+01
4.20000e-01 1.92919e+01 1.32963e+01 4.73594e+01
4.30000e-01 1.85337e+01 9.42057e+00 4.82361e+01
4.40000e-01 1.74836e+01 5.67875e+00 4.83081e+01
4.50000e-01 1.61916e+01 2.25895e+00 4.76938e+01
4.60000e-01 1.47181e+01 -7.13314e-01 4.65531e+01
4.70000e-01 1.31263e+01 -3.17872e+00 4.50572e+01
4.80000e-01 1.14761e+01 -5.13488e+00 4.33642e+01
4.90000e-01 9.82001e+00 -6.62032e+00 4.16036e+01
5.00000e-01 8.20045e+00 -7.69737e+00 3.98713e+01
5.10000e-01 6.64938e+00 -8.43765e+00 3.82309e+01
5.20000e-01 5.18887e+00 -8.91190e+00 3.67185e+01
5.30000e-01 3.83247e+00 -9.18396e+00 3.53503e+01
5.40000e-01 2.58681e+00 -9.30796e+00 3.41281e+01
5.50000e-01 1.45323e+00 -9.32784e+00 3.30453e+01
5.60000e-01 4.29247e-01 -9.27807e+00 3.20903e+01
5.70000e-01 -4.90279e-01 -9.18495e+00 3.12495e+01
5.80000e-01 -1.31216e+00 -9.06808e+00 3.05092e+01
5.90000e-01 -2.04415e+00 -8.94176e+00 2.98562e+01
6.00000e-01 -2.69443e+00 -8.81619e+00 2.92787e+01
6.10000e-01 -3.27121e+00 -8.69846e+00 2.87666e+01
6.20000e-01 -3.78248e+00 -8.59333e+00 2.83109e+01
6.30000e-01 -4.23583e+00 -8.50384e+00 2.79045e+01
6.40000e-01 -4.63836e+00 -8.43176e+00 2.75413e+01
6.50000e-01 -4.99660e+00 -8.37792e+00 2.72164e+01
6.60000e-01 -5.31651e+00 -8.34247e+00 2.69258e+01
6.70000e-01 -5.60349e+00 -8.32511e+00 2.66665e+01
6.80000e-01 -5.86235e+00 -8.32515e+00 2.64359e+01
6.90000e-01 -6.09739e+00 -8.34165e+00 2.62321e+01
7.00000e-01 -6.31238e+00 -8.37351e+00 2.60536e+01
7.10000e-01 -6.51064e+00 -8.41947e+00 2.58994e+01
7.20000e-01 -6.69503e+00 -8.47819e+00 2.57684e+01
7.30000e-01 -6.86803e+00 -8.54824e+00 2.56601e+01
7.40000e-01 -7.03171e+00 -8.62813e+00 2.55739e+01
7.50000e-01 -7.18784e+00 -8.71635e+00 2.55094e+01
7.60000e-01 -7.33784e+00 -8.81131e+00 2.54663e+01
7.70000e-01 -7.48287e+00 -8.91141e+00 2.54442e+01
7.80000e-01 -7.62380e+00 -9.01502e+00 2.54428e+01
7.90000e-01 -7.76129e+00 -9.12046e+00 2.54617e+01
8.00000e-01 -7.89574e+00 -9.22605e+00 2.55004e+01
8.10000e-01 -8.02739e+00 -9.33009e+00 2.55584e+01
8.20000e-01 -8.15627e+00 -9.43087e+00 2.56350e+01
8.30000e-01 -8.28224e+00 -9.52670e+00 2.57293e+01
8.40000e-01 -8.40504e+00 -9.61591e+00 2.58405e+01
8.50000e-01 -8.52426e+00 -9.69687e+00 2.59672e+01
8.60000e-01 -8.63937e+00 -9.76802e+00 2.61082e+01
8.70000e-01 -8.74977e+00 -9.82791e+00 2.62620e+01
8.80000e-01 -8.85476e+00 -9.87518e+00 2.64268e+01
8.90000e-01 -8.95360e+00 -9.90864e+00 2.66008e+01
9.00000e-01 -9.04550e+00 -9.92726e+00 2.67818e+01
9.10000e-01 -9.12969e+00 -9.93025e+00 2.69676e+01
9.20000e-01 -9.20536e+00 -9.91702e+00 2.71559e+01
9.30000e-01 -9.27177e+00 -9.88725e+00 2.73442e+01
9.40000e-01 -9.32823e+00 -9.84091e+00 2.75301e+01
9.50000e-01 -9.37412e+00 -9.77822e+00 2.77111e+01
9.60000e-01 -9.40890e+00 -9.69973e+00 2.78847e+01
9.70000e-01 -9.43217e+00 -9.60625e+00 2.80484e+01
9.80000e-01 -9.44364e+00 -9.49888e+00 2.82002e+01
9.90000e-01 -9.44319e+00 -9.37895e+00 2.83378e+01
1.00000e+00 -9.43083e+00 -9.24805e+00 2.84596e+01
1.01000e+00 -9.40672e+00 -9.10792e+00 2.85639e+01
1.02000e+00 -9.37120e+00 -8.96046e+00 2.86493e+01
1.03000e+00 -9.32476e+00 -8.80769e+00 2.87150e+01
1.04000e+00 -9.26802e+00 -8.65165e+00 2.87603e+01
1.05000e+00 -9.20176e+00 -8.49442e+00 2.87848e+01
1.06000e+00 -9.12687e+00 -8.33801e+00 2.87884e+01
1.07000e+00 -9.04434e+00 -8.18438e+00 2.87715e+01
1.08000e+00 -8.95525e+00 -8.03536e+00 2.87346e+01
1.09000e+00 -8.86075e+00 -7.89264e+00 2.86785e+01
1.10000e+00 -8.76203e+00 -7.75775e+00 2.86041e+01
1.11000e+00 -8.66030e+00 -7.63203e+00 2.85128e+01
1.12000e+00 -8.55678e+00 -7.51664e+00 2.84058e+01
1.13000e+00 -8.45267e+00 -7.41253e+00 2.82847e+01
1.14000e+00 -8.34914e+00 -7.32048e+00 2.81510e+01
1.15000e+00 -8.24730e+00 -7.24108e+00 2.80063e+01
1.16000e+00 -8.14823e+00 -7.17474e+00 2.78523e+01
1.17000e+00 -8.05292e+00 -7.12172e+00 2.76906e+01
1.18000e+00 -7.96229e+00 -7.08215e+00 2.75230e+01
1.19000e+00 -7.87716e+00 -7.05602e+00 2.73511e+01
1.20000e+00 -7.79829e+00 -7.04321e+00 2.71764e+01
1.21000e+00 -7.72635e+00 -7.04352e+00 2.70007e+01
1.22000e+00 -7.66191e+00 -7.05666e+00 2.68253e+01
1.23000e+00 -7.60545e+00 -7.08227e+00 2.66518e+01
1.24000e+00 -7.55739e+00 -7.11994e+00 2.64816e+01
1.25000e+00 -7.51806e+00 -7.16921e+00 2.63161e+01
1.26000e+00 -7.48769e+00 -7.22958e+00 2.61565e+01
1.27000e+00 -7.46648e+00 -7.30050e+00 2.60041e+01
1.28000e+00 -7.45452e+00 -7.38141e+00 2.58602e+01
1.29000e+00 -7.45186e+00 -7.47169e+00 2.57258e+01
1.30000e+00 -7.45847e+00 -7.57070e+00 2.56020e+01
1.31000e+00 -7.47427e+00 -7.67775e+00 2.54900e+01
1.32000e+00 -7.49911e+00 -7.79210e+00 2.53906e+01
1.33000e+00 -7.53279e+00 -7.91300e+00 2.53048e+01
1.34000e+00 -7.57505e+00 -8.03961e+00 2.52334e+01
1.35000e+00 -7.62559e+00 -8.17104e+00 2.51773e+01
1.36000e+00 -7.68401e+00 -8.30636e+00 2.51370e+01
1.37000e+00 -7.74990e+00 -8.44454e+00 2.51133e+01
1.38000e+00 -7.82277e+00 -8.58452e+00 2.51067e+01
1.39000e+00 -7.90206e+00 -8.72513e+00 2.51175e+01
1.40000e+00 -7.98717e+00 -8.86514e+00 2.51461e+01
1.41000e+00 -8.07742e+00 -9.00327e+00 2.51926e+01
1.42000e+00 -8.17208e+00 -9.13815e+00 2.52569e+01
1.43000e+00 -8.27036e+00 -9.26836e+00 2.53390e+01
1.44000e+00 -8.37139e+00 -9.39243e+00 2.54384e+01
1.45000e+00 -8.47425e+00 -9.50889e+00 2.55546e+01
1.46000e+00 -8.57798e+00 -9.61621e+00 2.56868e+01
1.47000e+00 -8.68155e+00 -9.71292e+00 2.58340e+01
1.48000e+00 -8.78389e+00 -9.79756e+00 2.59950e+01
1.49000e+00 -8.88391e+00 -9.86875e+00 2.61683e+01
1.50000e+00 -8.98048e+00 -9.92523e+00 2.63522e+01
1.51000e+00 -9.07248e+00 -9.96585e+00 2.65449e+01
1.52000e+00 -9.15879e+00 -9.98965e+00 2.67441e+01
1.53000e+00 -9.23830e+00 -9.99590e+00 2.69476e+01
1.54000e+00 -9.30996e+00 -9.98406e+00 2.71529e+01
1.55000e+00 -9.37280e+00 -9.95390e+00 2.73576e+01
1.56000e+00 -9.42590e+00 -9.90547e+00 2.75589e+01
1.57000e+00 -9.46847e+00 -9.83912e+00 2.77543e+01
1.58000e+00 -9.49983e+00 -9.75550e+00 2.79410e+01
1.59000e+00 -9.51945e+00 -9.65558e+00 2.81168e+01
1.60000e+00 -9.52696e+00 -9.54062e+00 2.82790e+01
1.61000e+00 -9.52214e+00 -9.41215e+00 2.84257e+01
1.62000e+00 -9.50498e+00 -9.27192e+00 2.85549e+01
1.63000e+00 -9.47561e+00 -9.12191e+00 2.86649e+01
1.64000e+00 -9.43438e+00 -8.96420e+00 2.87544e+01
1.65000e+00 -9.38177e+00 -8.80102e+00 2.88225e+01
1.66000e+00 -9.31847e+00 -8.63461e+00 2.88685e+01
1.67000e+00 -9.24530e+00 -8.46722e+00 2.88920e+01
1.68000e+00 -9.16320e+00 -8.30104e+00 2.88933e+01
1.69000e+00 -9.07324e+00 -8.13818e+00 2.88725e+01
1.70000e+00 -8.97658e+00 -7.98058e+00 2.88304e+01
1.71000e+00 -8.87446e+00 -7.83004e+00 2.87680e+01
1.72000e+00 -8.76813e+00 -7.68817e+00 2.86863e+01
1.73000e+00 -8.65890e+00 -7.55635e+00 2.85868e+01
1.74000e+00 -8.54805e+00 -7.43579e+00 2.84708e+01
1.75000e+00 -8.43686e+00 -7.32744e+00 2.83401e+01
1.76000e+00 -8.32657e+00 -7.23207e+00 2.81963e+01
1.77000e+00 -8.21835e+00 -7.15026e+00 2.80413e+01
1.78000e+00 -8.11331e+00 -7.08239e+00 2.78767e+01
1.79000e+00 -8.01249e+00 -7.02867e+00 2.77043e+01
1.80000e+00 -7.91685e+00 -6.98920e+00 2.75260e+01
1.81000e+00 -7.82724e+00 -6.96390e+00 2.73435e+01
1.82000e+00 -7.74442e+00 -6.95262e+00 2.71584e+01
1.83000e+00 -7.66908e+00 -6.95510e+00 2.69725e+01
1.84000e+00 -7.60180e+00 -6.97100e+00 2.67872e+01
1.85000e+00 -7.54307e+00 -6.99993e+00 2.66042e+01
1.86000e+00 -7.49330e+00 -7.04142e+00 2.64248e+01
1.87000e+00 -7.45279e+00 -7.09500e+00 2.62506e+01
1.88000e+00 -7.42180e+00 -7.16010e+00 2.60828e+01
1.89000e+00 -7.40050e+00 -7.23618e+00 2.59227e+01
1.90000e+00 -7.38896e+00 -7.32263e+00 2.57717e+01
1.91000e+00 -7.38723e+00 -7.41882e+00 2.56307e+01
1.92000e+00 -7.39526e+00 -7.52407e+00 2.55011e+01
1.93000e+00 -7.41295e+00 -7.63769e+00 2.53839e+01
1.94000e+00 -7.44014e+00 -7.75892e+00 2.52800e+01
1.95000e+00 -7.47662e+00 -7.88698e+00 2.51905e+01
1.96000e+00 -7.52211e+00 -8.02101e+00 2.51162e+01
1.97000e+00 -7.57628e+00 -8.16010e+00 2.50579e+01
1.98000e+00 -7.63874e+00 -8.30327e+00 2.50164e+01
1.99000e+00 -7.70903e+00 -8.44948e+00 2.49924e+01
2.00000e+00 -7.78665e+00 -8.59760e+00 2.49864e+01
2.01000e+00 -7.87102e+00 -8.74642e+00 2.49989e+01
2.02000e+00 -7.96150e+00 -8.89467e+00 2.50301e+01
