#year month_cnt val
1950 0 -1.062
1950 1 -1.162
1950 2 -1.312
1950 3 -1.104
1950 4 -1.433
1950 5 -1.391
1950 6 -1.296
1950 7 -1.053
1950 8 -.634
1950 9 -.433
1950 10 -1.165
1950 11 -1.261
1951 0 -1.07
1951 1 -1.189
1951 2 -1.222
1951 3 -.523
1951 4 -.36
1951 5 .349
1951 6 .666
1951 7 .829
1951 8 .743
1951 9 .736
1951 10 .703
1951 11 .478
1952 0 .419
1952 1 .136
1952 2 .063
1952 3 .22
1952 4 -.309
1952 5 -.723
1952 6 -.316
1952 7 -.378
1952 8 .313
1952 9 .275
1952 10 -.349
1952 11 -.124
1953 0 .03
1953 1 .385
1953 2 .256
1953 3 .682
1953 4 .784
1953 5 .218
1953 6 .368
1953 7 .213
1953 8 .501
1953 9 .093
1953 10 .075
1953 11 .324
1954 0 -.051
1954 1 -.032
1954 2 .162
1954 3 -.567
1954 4 -1.416
1954 5 -1.564
1954 6 -1.378
1954 7 -1.471
1954 8 -1.166
1954 9 -1.348
1954 10 -1.14
1954 11 -1.113
1955 0 -.762
1955 1 -.698
1955 2 -1.152
1955 3 -1.634
1955 4 -1.642
1955 5 -2.243
1955 6 -1.998
1955 7 -2.073
1955 8 -1.823
1955 9 -1.753
1955 10 -1.841
1955 11 -1.877
1956 0 -1.437
1956 1 -1.323
1956 2 -1.413
1956 3 -1.132
1956 4 -1.317
1956 5 -1.502
1956 6 -1.259
1956 7 -1.131
1956 8 -1.359
1956 9 -1.486
1956 10 -1.038
1956 11 -1.022
1957 0 -.941
1957 1 -.364
1957 2 .134
1957 3 .353
1957 4 .866
1957 5 .769
1957 6 .908
1957 7 1.148
1957 8 1.125
1957 9 1.083
1957 10 1.148
1957 11 1.248
1958 0 1.472
1958 1 1.442
1958 2 1.32
1958 3 1.013
1958 4 .719
1958 5 .864
1958 6 .693
1958 7 .427
1958 8 .188
1958 9 .213
1958 10 .486
1958 11 .671
1959 0 .548
1959 1 .788
1959 2 .496
1959 3 .197
1959 4 .013
1959 5 -.018
1959 6 -.134
1959 7 .114
1959 8 .105
1959 9 -.06
1959 10 -.17
1959 11 -.261
1960 0 -.299
1960 1 -.257
1960 2 -.094
1960 3 -.019
1960 4 -.335
1960 5 -.254
1960 6 -.34
1960 7 -.251
1960 8 -.465
1960 9 -.355
1960 10 -.331
1960 11 -.417
1961 0 -.163
1961 1 -.261
1961 2 -.097
1961 3 0
1961 4 -.288
1961 5 -.137
1961 6 -.216
1961 7 -.304
1961 8 -.301
1961 9 -.539
1961 10 -.436
1961 11 -.634
1962 0 -1.087
1962 1 -.988
1962 2 -.724
1962 3 -1.039
1962 4 -.91
1962 5 -.852
1962 6 -.701
1962 7 -.543
1962 8 -.551
1962 9 -.67
1962 10 -.623
1962 11 -.505
1963 0 -.739
1963 1 -.861
1963 2 -.69
1963 3 -.792
1963 4 -.477
1963 5 -.087
1963 6 .401
1963 7 .597
1963 8 .75
1963 9 .814
1963 10 .844
1963 11 .744
1964 0 .874
1964 1 .465
1964 2 -.269
1964 3 -.563
1964 4 -1.242
1964 5 -1.115
1964 6 -1.405
1964 7 -1.503
1964 8 -1.311
1964 9 -1.225
1964 10 -1.239
1964 11 -.936
1965 0 -.557
1965 1 -.349
1965 2 -.276
1965 3 .053
1965 4 .49
1965 5 .915
1965 6 1.36
1965 7 1.443
1965 8 1.406
1965 9 1.219
1965 10 1.362
1965 11 1.252
1966 0 1.306
1966 1 1.178
1966 2 .678
1966 3 .528
1966 4 -.152
1966 5 -.168
1966 6 -.136
1966 7 .155
1966 8 -.085
1966 9 -.044
1966 10 .004
1966 11 -.199
1967 0 -.473
1967 1 -.924
1967 2 -1.068
1967 3 -1.059
1967 4 -.455
1967 5 -.266
